brand,name,seller,old_price,new_price,reviews_rating_number,reviews_amount
,Notebook Multi Ultra Celeron N4020c 4gb 128gb W11 14'' Cinza,,1.399,135,4.6,(152)
LENOVO,"Notebook Lenovo Ideapad Intel Celeron - N4020, 4GB RAM, 128SSD, Windows 11 Home C/office, Tela Led 15,6"", Cor Cinza - 82VX0001BR",Por Siberiano ,2.299,1.927,4.7,(1726)
SAMSUNG,"Samsung Chromebook 4 Intel Celeron N4020 4GB 64GB Tela 11.6"" Prata XE310XBA-KT4BR",,1.899,1.449,4.5,(146)
,Notebook Positivo Vision C14 Lumina Bar Celeron 8gb 256gb Emmc Tela 14 Polegadas Hd Antirreflexo Linux Tecla Link - Cinza,Por Positivo ,2.099,1.437,4.5,(243)
LENOVO,Notebook I5 Tela Touch Ssd 256gb 32gb Fhd Hdmi Usb-c Tb3 T14,,3.999,2.799,5.0,(5)
ACER,"Notebook Gamer Acer Nitro V Intel Core I5 - 13420H, 8GB Ram, 512GB SSD, NVIDIA RTX4050, Windows 11 Home, Tela 15,6"" Full HD - ANV15-51-54DL",Por Acer Brasil ,5.541,554,4.8,(978)
LENOVO,"Ultrabook Lenovo ThinkPad L14 preto 14"", AMD AMD Ryzen 5 PRO 4650U 4650U 8 GB de RAM 256 GB SSD, AMD Radeon Graphics 60 Hz 1366x768px Windows 10 Pro",Por Itotal ,4.223,3.378,5.0,(5)
ACER,Notebook Acer Aspire 3 A315-510p-34xc Intel Core I3 8gb,Por Carrefour ,3.299,2.699,,
ACER,"Notebook Acer TravelMate TMP214-55-54ZZ Intel® Core™ i5 – 1335U de 13ªGen 16GB 512GB SSD W11 Pro 14""",Por Acer Brasil ,7.999,799,,
ASUS,"Notebook Gamer ASUS TUF Gaming A15 AMD Ryzen 7 7435HS 3,1 GHz RTX3050 16GB RAM 512GB SSD Windows 11 Home Tela 15,6 144Hz IPS FHD Graphite Black - FA506NCR-HN088W",Por Mercado Livre ,6.499,649,5.0,(11)
LENOVO,Notebook Lenovo Ideapad 1 15iau7 Intel Core I5-1235u 8gb,Por Carrefour ,3.699,3.089,5.0,(5)
LENOVO,"Notebook Lenovo Ideapad 1i Intel Core i3 1215U 4GB 256GB Linux 15,6"" HD 82VYS00600",Por Lenovo ,2.084,200,4.8,(4583)
DELL,Notebook Dell 15.6 Fhd I5 8gb 512gb Ssd Rtx 3050,Por Dell ,5.999,5.699,4.5,(14)
DELL,Notebook Core I5 Dell Latitude 16gb Ram 256gb Ssd M2,,2.999,288,4.3,(109)
SAMSUNG,"Samsung Chromebook Intel Celeron N4020 4gb 64gb 11,6'' Prata",Por 123 Comprou ,2.331,1.993,5.0,(16)
ASUS,"Notebook ASUS TUF Gaming A15 FA506NCR NVIDIA RTX 3050 AMD Ryzen 7 7435HS 8Gb Ram 512Gb SSD Linux KeepOS Tela 15,6"" FHD Nível IPS 144Hz Black - HN089",Por Asus ,6.899,5.312,5.0,(4)
ACER,Notebook Acer Aspire 54e6 Ci5 13ªg 8gb 512ssd W11 Home 15.6,Por Acer Brasil ,3.599,3.299,5.0,(7)
ACER,Notebook Acer Aspire 56kr Intel Ci5 13ªg 16gb 512ssd 15.6,Por Acer Brasil ,3.599,3.299,4.8,(11)
,"Notebook Presario CQ-25 14.1"" gray 4GB de Ram - 120GB SSD - Intel Pentium",,1.099,,4.2,(33)
LENOVO,Notebook Lenovo V14 G4 Amd Ryzen 3 8gb 256gb Ssd Dos 14,Por Lenovo ,2.114,203,,
LENOVO,"Notebook Lenovo IdeaPad 1i Intel Core i7-1255U 16GB 512GB SSD Windows 11 Home 15.6"" 82VY000NBR",Por Lenovo ,4.034,387,4.8,(4583)
,"Notebook Positivo Vision R15 Lumina Bar, Amd Ryzen 7 8gb 256gb, Tela 15 Full Hd Antirreflexo, Linux - Preto",Por Positivo ,3.599,2.499,4.7,(70)
LENOVO,Notebook Lenovo Ideapad 1 Ryzen 5 7520U 8gb 512gb W11 15.6 HD 82x5000gbr,Por Lenovo ,2.719,261,4.8,(505)
LENOVO,Notebook Lenovo Ideapad 1 Ryzen 3 7320U 4gb 256gb SSD Linux 15.6 HD 82x5s00600,Por Lenovo ,1.939,186,4.7,(203)
,"Notebook Positivo Vision R15 Lumina Bar, Amd Ryzen 7 32gb 512gb, Tela 15 Polegadas Full Hd Antirreflexo, Linux - Preto",Por Positivo ,4.299,3.299,4.7,(15)
SAMSUNG,"Notebook Samsung Galaxy Book Go Snapdragon 7c Kryo 468 Octa-core 4GB RAM 128GB SSD 14"" Full HD W11 com Office 365 NP340XLA-K07BR",,2.099,201,4.7,(739)
SAMSUNG,"Notebook Samsung Galaxy Book4, Windows 11 Home, Intel® Core I5, 8gb, 256gb Ssd, 15.6'' Full Hd Led, 1.55 Kg - Grafite",,4.999,3.379,4.9,(1135)
,"Notebook Positivo Vision C15 Lumina Bar Celeron, 8GB 128GB eMMC, Tela 15.6"" HD Antirreflexo, Windows 11, Tecla Link, Cinza",Por Positivo ,3.331,1.799,4.6,(705)
,Notebook Multi Ultra Celeron N4020c 4gb 128gb W11 14'' Cinza,Por 123 Comprou ,2.531,1.499,4.6,(152)
SAMSUNG,"Notebook Samsung Galaxy Book Go Snapdragon 7c Kryo 468 Octa-core 4GB RAM 128GB SSD 14"" Full HD W11 com Office 365 NP340XLA-K07BR",,2.099,201,4.7,(739)
DELL,Notebook Dell Latitude 7490 I7 8° 16gb Ssd 512gb Win 11,,2.999,299,5.0,(1)
,Notebook Vaio Fe 16 Amd Ryzen 7 - 5700u Linux 32gb 512gb Ssd Tela 16 Ips Wuxga Antirreflexo - Cinza Grafite - Vjfe69f11xb0911h,Por Vaio ,4.759,3.949,5.0,(6)
LENOVO,Notebook Ideapad 1i Intel Core i5 12gb 512gb Linux 82vys00900 Cloud Grey,Por Lenovo ,2.809,269,4.8,(4583)
,"Notebook Motion Q4128ci 14.1"" existential gray 4GB de Ram - 128GB SSD - Intel Atom",,1.299,129,4.2,(148)
ASUS,Notebook Asus Core I5 1235u 8gb Ssd 256gb 15.6 Windows 11,Por 2Eletro ,4.000,3.035,5.0,(1)
,"Notebook Chromebook Clamshell, 14, 32gb/4gb - Pc918a Cor Preto",Por Loja Multi ,1.399,140,4.7,(14)
LENOVO,Notebook Celeron 15.6 128gb Ssd 4gb W11 82bu0006br Lenovo Cor Prateado,Por 123 Comprou ,3.665,2.199,4.6,(2368)
ACER,Acer Aspire 5 15.6 Fhd I7-12650h Ssd 256gb 8gb Linux Gutta Cor Gamut,Por INPOWER ,4.629,3.299,4.8,(136)
LENOVO,"Notebook Lenovo Ideapad 1i Celeron N4020 4gb 128gb W11 15,6'",Por 123 Comprou ,3.665,3.481,4.7,(18)
SAMSUNG,"Notebook Samsung Book4 I5 1335u 8gb 256gb 15,6 W11p Np754xgj",Por 2Eletro ,3.800,3.499,,
,"Notebook Chromebook Clamshell, 14, 32gb/4gb - Pc918a Cor Preto",Por Loja Multi ,1.399,140,4.7,(14)
,"Notebook Positivo Vision i15 Lumina Bar i3-N300, 8GB 512GB SSD, Tela 15 polegadas Full HD Antirreflexo Linux - Cinza",Por Positivo ,2.699,2.298,4.6,(281)
ACER,"Notebook Gamer Acer Nitro V ANV15-51-57WS Intel® Core™ i5-13420H 13ªGeração 512SSD 8GB Nvidia® GeForce® RTX 3050 GDDR6 Linux Gutta 15,6'",Por Acer Brasil ,5.030,503,4.8,(2647)
SAMSUNG,"Notebook Samsung Book4 I3 1315u 8gb 512gb 15,6 W11p Np754xgj",Por 2Eletro ,3.800,2.771,4.7,(3)
,"Notebook Positivo Vision R15 Lumina Bar, AMD Ryzen 5 8GB 256GB, Tela 15 polegadas Full HD Antirreflexo, Linux - Preto",Por Positivo ,4.265,2.549,5.0,(1)
LENOVO,Notebook Lenovo V14 Amd R5 7520u 8gb 256gb Ssd W11 Pro Preto,Por 2Eletro ,4.110,3.229,,
ACER,"Notebook Gamer Acer Nitro V15 I7-13620h 13ªGen 8gb 512gb Rtx3050 6gb Linux 15.6"" FHD Preto - Anv15-51-7837",Por INPOWER ,7.599,5.399,3.0,(4)
SAMSUNG,"Notebook Samsung Galaxy Book4, Windows 11 Home, Intel® Core 5, 16gb, 512gb Ssd, Nvidia® Geforce® Mx570, 15.6'' Full Hd Led, Fingerprint - Grafite",Por Samsung ,4.899,4.464,4.9,(198)
LENOVO,Notebook Lenovo Ideapad 1 R3-7320U 4GB de RAM 256GB SSD W11 Home 15.6 82x5000ebr,Por Lenovo ,2.114,203,4.8,(505)
ASUS,"Notebook Asus Vivobook Go E1504ga Intel Core I3 N305 8gb Ram 512gb Ssd Linux Keepos Tela 15,6 Fhd Silver - Nj438",Por Asus ,2.799,2.499,4.9,(72)
LENOVO,"Notebook Ideapad 1i Intel Core i7 1255U, 12GB RAM, 512GB SSD, Linux, Tela 15,6"" HD 82VYS01000",Por Lenovo ,3.419,328,4.8,(4583)
,"MacBook Air M1 2020 13"" cinza-espacial 8GB de Ram - 256GB SSD - Apple Chip",,5.999,599,4.9,(236)
ACER,Notebook Acer Aspire 3 A315-510p-34xc 8gb 256gb Ssd,Por TNT Info ,3.116,311,,
ASUS,"Notebook Asus Vivobook Go 15 E1504fa Amd Ryzen 5 7520u 8gb Ram 1tb Ssd Linux Keepos Tela 15,6 Fhd Black - Nj1289",Por Asus ,3.299,2.738,4.8,(44)
LENOVO,Notebook Lenovo Ideapad 1i Celeron Office 365 4gb 128gb W11,,2.479,1.799,4.8,(98)
ASUS,"Notebook Asus Vivobook Go 15 E1504fa Amd Ryzen 5 7520u 16gb Ram 512gb Ssd Linux Keepos Tela 15,6 Led Fhd Black - Nj1288",Por Asus ,3.311,3.089,4.7,(78)
ASUS,Notebook Asus Vivobook 16 X1605va Intel Core I7 1355u 16gb Ram 512gb Ssd Windows 11 Home Tela 16 Ips Fhd Silver - Mb763w,Por Asus ,4.634,463,4.9,(11)
HP,Notebook HP 14 14-dq0002dx Intel Celeron 4 GB de RAM branco,,1.609,154,,
,"Notebook Positivo Vision R15 Lumina Bar, Amd Ryzen 5 16gb 512gb, Tela 15 Polegadas Full Hd Antirreflexo, Windows 11 Home Tecla Copilot - Preto",Por Positivo ,4.199,3.099,4.6,(12)
LENOVO,"Notebook Gamer Lenovo Loq 15irh8 Intel Core i5 12450H 16gb RAM 512GB SSD RTX 2050 Windows 11 Home Tela 15,6"" Full HD 83EU0001BR",Por Miranda ,5.158,495,4.9,(2019)
,"MacBook Air 13-inch 13"" midnight 8GB de Ram - 256GB SSD - Apple Chip M3",,8.889,889,4.8,(56)
HP,Notebook Hp Probook 440 G9 Intel Core I3-1215u 14 Intel Uhd 256gb 8gb Ram Windows 11 Pro- 839y2la#ak4,Por HP ,3.099,297,5.0,(6)
ASUS,"Notebook ASUS Vivobook Go E1504GA Intel Core i3 N305 8GB Ram 512GB SSD Windows 11 Tela 15,6"" FHD Silver - NJ435W",Por Asus ,3.199,3.039,4.9,(554)
ACER,"Notebook Acer Aspire 3 Intel Core i3– N305 FHD 15.6"" LED TN UHD para processadores Inte 256GB SDD 8GB RAM Debian 64 bits Prata - A315-510P-320B",,3.410,2.501,4.8,(201)
ASUS,"Notebook ASUS X515KA Intel Celeron Dual Core N4500 4GB Ram 128GB SSD Windows 11 Home 15,6 HD Grey EJ303WS",,1.775,170,4.7,(330)
ASUS,Notebook Asus Vivobook 16 Snapdragon X1 26 100 16gb 1tb W11,Por Mercado Livre ,8.235,791,,
LENOVO,"Notebook Lenovo Ideapad 1i Intel I5-1235u 8gb 512gb 15,6 W11",Por 2Eletro ,3.999,3.199,5.0,(7)
DELL,Notebook Dell Inspiron I15-i120k-a35p I5 16gb 1tb 15.6 W11,Por Dell ,4.000,400,4.8,(1369)
,Notebook Positivo Vision C14 Lumina BAR Celeron 4GB 128GB eMMC Tela 14 Polegadas HD Antirreflexo Windows 11 Tecla Link – Cinza,Por Positivo ,1.359,135,4.6,(3686)
,Notebook Positivo Master N1250 Pentium N5030 4gb 128gb W11 Cor Cinza,,1.987,198,4.6,(571)
ASUS,Notebook Asus Vivobook 16 X1605va Intel Core I7 1355u 8gb Ram 512gb Ssd Windows 11 Home Tela 16 Fhd Silver - Mb741w,Por Asus ,4.415,3.929,4.6,(9)
SAMSUNG,"Notebook Samsung Book 4 I3 1315u 8gb 512gb Ssd 15,6' W11 Pro",Por Eshop ,3.999,2.970,5.0,(2)
LENOVO,Notebook Lenovo Thinkpad T480 14  I5 8ª 8gb Ssd 256gb,Por Micro Livre ,1.719,171,4.8,(71)
